Year,Month,Tmax,Tmin,AF,Rain,Sun,Station
1984,1,5.6,0.8,10.0,160.2,37.6,Sheffield
1984,2,5.8,0.6,12.0,79.7,42.3,Sheffield
1984,3,7.3,2.2,3.0,52.3,44.9,Sheffield
1984,4,13.3,3.5,5.0,10.0,205.7,Sheffield
1984,5,14.9,5.9,1.0,55.4,158.4,Sheffield
1984,6,19.1,10.5,0.0,40.9,219.3,Sheffield
1984,7,22.4,12.0,0.0,13.3,258.2,Sheffield
1984,8,22.5,12.6,0.0,81.9,183.0,Sheffield
1984,9,16.7,10.4,0.0,117.6,86.1,Sheffield
1984,10,14.3,7.7,0.0,82.7,75.6,Sheffield
1984,11,9.8,5.7,0.0,124.9,33.7,Sheffield
1984,12,7.3,2.4,8.0,47.6,39.1,Sheffield
1984,1,5.4,0.0,12.0,90.5,73.3,Waddington
1984,2,5.5,-0.2,13.0,40.7,67.1,Waddington
1984,3,7.2,1.5,5.0,52.0,52.5,Waddington
1984,4,12.4,2.6,5.0,14.8,211.9,Waddington
1984,5,13.7,5.0,0.0,70.4,172.8,Waddington
1984,6,18.5,10.2,0.0,27.4,205.9,Waddington
1984,7,21.8,11.2,0.0,16.7,226.7,Waddington
1984,8,22.2,12.4,0.0,90.2,220.4,Waddington
1984,9,16.6,10.4,0.0,81.2,106.5,Waddington
1984,10,14.6,7.2,0.0,35.5,120.5,Waddington
1984,11,10.0,5.1,0.0,94.6,50.6,Waddington
1984,12,7.2,2.0,7.0,47.0,62.6,Waddington
1984,1,8.3,1.6,8.0,205.7,70.6,Cardiff
1984,2,7.9,1.8,7.0,67.3,60.2,Cardiff
1984,3,9.2,2.6,3.0,31.1,74.0,Cardiff
1984,4,14.8,3.7,6.0,9.5,230.1,Cardiff
1984,5,16.1,6.8,0.0,60.0,168.8,Cardiff
1984,6,20.9,10.6,0.0,35.9,246.2,Cardiff
1984,7,23.1,12.5,0.0,14.7,263.3,Cardiff
1984,8,23.3,13.8,0.0,47.5,197.0,Cardiff
1984,9,18.3,11.0,0.0,149.1,139.8,Cardiff
1984,10,15.3,8.9,1.0,147.7,83.8,Cardiff
1984,11,11.6,5.8,2.0,218.2,42.1,Cardiff
1984,12,9.6,2.6,7.0,115.0,48.9,Cardiff
