Year,Month,Tmax,Tmin,AF,Rain,Sun,Station
1945,1,3.4,-1.0,17.0,75.2,49.1,Sheffield
1945,2,10.1,4.2,1.0,69.1,59.4,Sheffield
1945,3,12.2,5.1,0.0,13.7,114.5,Sheffield
1945,4,14.3,6.0,1.0,44.5,163.6,Sheffield
1945,5,16.1,8.0,0.0,78.8,142.6,Sheffield
1945,6,18.5,10.9,0.0,80.4,162.8,Sheffield
1945,7,20.9,13.2,0.0,45.3,192.0,Sheffield
1945,8,20.1,11.9,0.0,66.8,150.5,Sheffield
1945,9,17.5,11.0,0.0,20.9,77.5,Sheffield
1945,10,15.2,8.9,0.0,136.8,75.5,Sheffield
1945,11,9.3,5.7,0.0,9.9,22.8,Sheffield
1945,12,7.6,3.0,4.0,42.5,33.6,Sheffield
1946,1,5.7,0.6,16.0,108.1,31.5,Sheffield
1946,2,8.2,3.5,6.0,111.8,71.0,Sheffield
1946,3,8.8,2.0,9.0,32.9,102.9,Sheffield
1946,4,14.1,6.3,0.0,29.2,150.5,Sheffield
1946,5,13.9,6.0,0.0,60.7,143.6,Sheffield
1946,6,17.1,9.5,0.0,85.3,178.9,Sheffield
1946,7,20.3,12.8,0.0,63.9,170.7,Sheffield
1946,8,18.2,11.1,0.0,110.2,130.1,Sheffield
1946,9,17.0,10.7,0.0,113.0,98.0,Sheffield
1946,10,11.7,7.5,0.0,32.0,47.5,Sheffield
1946,11,10.2,5.8,0.0,158.2,22.5,Sheffield
1946,12,5.8,1.3,6.0,80.4,45.3,Sheffield
1947,1,3.7,0.0,16.0,85.4,34.8,Sheffield
1947,2,-0.6,-3.5,28.0,69.0,18.5,Sheffield
1947,3,5.3,0.2,14.0,141.4,58.5,Sheffield
1947,4,11.9,5.0,0.0,88.5,142.0,Sheffield
1947,5,18.2,8.5,0.0,56.8,151.3,Sheffield
1947,6,19.8,11.7,0.0,68.4,168.6,Sheffield
1947,7,20.6,13.6,0.0,32.8,116.7,Sheffield
1947,8,23.9,13.3,0.0,12.7,239.0,Sheffield
1947,9,18.8,11.1,0.0,35.5,145.5,Sheffield
1947,10,14.6,8.2,0.0,14.0,83.1,Sheffield
1947,11,9.8,4.7,5.0,72.6,89.2,Sheffield
1947,12,7.6,3.4,6.0,94.0,22.8,Sheffield
1948,1,7.2,2.6,1.0,165.3,32.4,Sheffield
1948,2,6.5,2.3,8.0,59.0,34.8,Sheffield
1948,3,12.4,4.0,2.0,26.1,131.2,Sheffield
1948,4,12.9,4.9,0.0,42.1,154.7,Sheffield
1948,5,15.9,6.5,0.0,38.4,216.8,Sheffield
1948,6,16.9,9.7,0.0,72.5,151.8,Sheffield
1948,7,19.7,11.7,0.0,24.2,171.6,Sheffield
1948,8,18.5,11.5,0.0,118.9,108.0,Sheffield
1948,9,16.7,10.8,0.0,37.4,101.0,Sheffield
1948,10,13.4,7.2,0.0,37.1,78.3,Sheffield
1948,11,10.6,4.9,3.0,28.0,62.9,Sheffield
1948,12,7.9,3.0,5.0,87.6,33.0,Sheffield
