Year,Month,Tmax,Tmin,AF,Rain,Sun,Date,Humidity,Tmax_z,Rain_z,Sun_z
1983,7,25.9,15.1,0,18.0,248.8,1983-07-01,71,2.6530747802041788,-1.278133122620086,1.3776669706154956
1985,8,18.4,12.3,0,186.6,160.6,1985-08-01,73,-1.4023563193547164,2.1345830822224086,-0.6798909621682877
1989,7,24.7,14.1,0,68.9,267.8,1989-07-01,81,2.004205804274756,-0.2478409824867349,1.8209050740496437
1990,7,23.7,12.8,0,58.4,297.1,1990-07-01,82,1.4634816576669032,-0.46037668919400787,2.504424886187567
1991,6,16.4,9.4,0,126.0,152.1,1991-06-01,66,-2.4838046125704216,0.9079484320832913,-0.8781816926519855
1992,8,19.4,12.4,0,184.8,151.3,1992-08-01,70,-0.8616321727468638,2.0981483896440194,-0.8968443496386862
1995,8,26.0,14.5,0,9.2,305.4,1995-08-01,54,2.7071471948649646,-1.4562582863366575,2.6980499524245887
1997,8,23.3,15.5,0,251.0,,1997-08-01,89,1.2471919990237628,3.438135416693682,
1999,8,21.3,12.7,0,204.0,,1999-08-01,65,0.16574370580805745,2.486785110480175,
2006,7,25.5,14.5,0,65.6,,2006-07-01,51,2.4367851215610385,-0.31463791888044945,
2009,7,20.2,13.1,0,194.1,,2009-07-01,61,-0.42905285546058125,2.286394301299032,
2012,6,17.9,11.6,0,180.8,,2012-06-01,86,-1.6727183926586429,2.0171824061364867,
2013,7,25.0,14.5,0,25.9,,2013-07-01,73,2.166423048257112,-1.1182253051927094,
2014,8,19.9,11.4,0,185.1,,2014-08-01,88,-0.5912700994429374,2.104220838407084,
2018,7,25.4,14.7,0,46.0,,2018-07-01,58,2.3827127069002523,-0.7113712380673586,
2022,8,25.0,14.2,0,27.8,,2022-08-01,62,2.166423048257112,-1.0797664630266315,
2023,7,20.6,13.1,0,185.6,,2023-07-01,77,-0.21276319681743905,2.1143415863455255,
